Year,Show_name,Potential_Gross,Difference,Average_ticket,Seats_Sold,Seats_in_theater,Previews,%cap,diff_cap
09-06-1985,42nd Street,0,0,30.42,9281,1655,8,70.1,0
09-06-1985,A Chorus Line,0,0,27.25,8167,1472,8,69.35,0
09-06-1985,Aren't We All?,0,0,33.75,7386,1088,8,84.86,0
09-06-1985,Arms and the Man,0,0,20.87,4586,682,8,84.05,0
09-06-1985,As Is,0,0,20.78,2938,684,8,53.69,0
09-06-1985,Big River,0,0,31.96,7992,1018,8,98.13,0
09-06-1985,Biloxi Blues,0,0,28.33,10831,1336,8,101.34,0
09-06-1985,Brighton Beach Memoirs,0,0,18.93,5672,1368,8,51.83,0
09-06-1985,Cats,0,0,38.35,12043,1482,8,101.58,0
09-06-1985,La Cage aux Folles,0,0,34.3,11921,1683,8,88.54,0
09-06-1985,Leader of the Pack,0,0,23.42,5210,1083,8,60.13,0
09-06-1985,Oh! Calcutta!,0,0,14.22,2273,499,9,50.61,0
09-06-1985,Singin' in the Rain,0,0,24.05,10120,1933,0,65.44,0
09-06-1985,Sunday in the Park with George,0,0,31.43,4880,771,8,79.12,0
09-06-1985,The King and I,0,0,40.84,9969,1765,8,70.6,0
09-06-1985,The Odd Couple,0,0,24.17,3768,1181,0,39.88,0
09-06-1985,The Tap Dance Kid,0,0,26.78,6667,1621,8,51.41,0
16-06-1985,42nd Street,0,19049,29.46,10231,1655,8,77.27,7.17
16-06-1985,A Chorus Line,0,-3380,27.68,7918,1472,8,67.24,-2.11
16-06-1985,Aren't We All?,0,-45278,32.43,6291,1088,8,72.28,-12.58
16-06-1985,Arms and the Man,0,-1357,20.2,4669,682,8,85.58,1.53
16-06-1985,As Is,0,5314,20.19,3288,684,8,60.09,6.4
16-06-1985,Big River,0,8861,33.23,7952,1018,8,97.64,-0.49
16-06-1985,Biloxi Blues,0,3173,28.34,10939,1336,8,102.35,1.01
16-06-1985,Brighton Beach Memoirs,0,64,16.49,6516,1368,8,59.54,7.71
16-06-1985,Cats,0,-3527,38.1,12029,1482,8,101.46,-0.12
16-06-1985,La Cage aux Folles,0,4256,34.41,12007,1683,8,89.18,0.64
16-06-1985,Leader of the Pack,0,1747,24.77,4996,1083,8,57.66,-2.47
16-06-1985,Oh! Calcutta!,0,1560,14.22,2383,499,8,59.69,9.08
16-06-1985,Singin' in the Rain,0,-7736,27.01,8727,1933,0,56.43,-9.01
16-06-1985,Sunday in the Park with George,0,3616,30.52,5143,771,8,83.38,4.26
16-06-1985,The King and I,0,0,40.84,9969,1765,8,70.6,0
16-06-1985,The Odd Couple,0,51346,25.87,5505,1181,7,58.27,18.39
16-06-1985,The Tap Dance Kid,0,-4514,27.34,6367,1621,8,49.1,-2.31
23-06-1985,42nd Street,0,-4979,30.26,9797,1655,8,74,-3.27
23-06-1985,A Chorus Line,0,9222,28.21,8096,1472,8,68.75,1.51
23-06-1985,Aren't We All?,0,3298,32.51,6376,1088,8,73.25,0.97
23-06-1985,Arms and the Man,0,-2066,20.14,4582,682,8,83.98,-1.6
23-06-1985,As Is,0,4374,18.87,3749,684,8,68.51,8.42
23-06-1985,Big River,0,9346,33.9,8071,1018,8,99.1,1.46
23-06-1985,Biloxi Blues,0,1872,28.4,10983,1336,8,102.76,0.41
23-06-1985,Brighton Beach Memoirs,0,13643,18.95,6391,1368,8,58.4,-1.14
23-06-1985,Cats,0,4687,38.47,12036,1482,8,101.52,0.06
23-06-1985,La Cage aux Folles,0,13477,35.17,12128,1683,8,90.08,0.9
23-06-1985,Leader of the Pack,0,-1030,24.11,5090,1083,8,58.75,1.09
23-06-1985,Oh! Calcutta!,0,1218,14.23,2467,499,9,54.93,-4.76
23-06-1985,Singin' in the Rain,0,-94736,29.27,4816,1933,0,41.52,-14.91
23-06-1985,Sunday in the Park with George,0,-3027,30.13,5109,771,8,82.83,-0.55
23-06-1985,The King and I,0,0,39.65,8025,1765,5,90.93,0
23-06-1985,The Odd Couple,0,42033,25.96,7105,1181,8,75.2,16.93
23-06-1985,The Tap Dance Kid,0,3170,26.91,6585,1621,8,50.78,1.68
30-06-1985,42nd Street,0,-3597,29.41,9957,1655,8,75.2,1.2
30-06-1985,A Chorus Line,0,2046,29.39,7841,1472,8,66.58,-2.17
30-06-1985,Aren't We All?,0,3328,31.76,6632,1088,8,76.19,2.94
30-06-1985,Arms and the Man,0,2281,19.96,4737,682,8,86.82,2.84
30-06-1985,As Is,0,8577,19.61,4045,684,8,73.92,5.41
30-06-1985,Big River,0,19085,35.67,8205,1018,8,100.75,1.65
30-06-1985,Biloxi Blues,0,-3371,27.94,11043,1336,8,103.32,0.56
30-06-1985,Brighton Beach Memoirs,0,2816,19.3,6421,1368,8,58.67,0.27
30-06-1985,Cats,0,1971,38.78,11991,1482,8,101.14,-0.38
30-06-1985,La Cage aux Folles,0,-12141,34.37,12058,1683,8,89.56,-0.52
30-06-1985,Leader of the Pack,0,-7055,25.18,4594,1083,8,53.02,-5.73
30-06-1985,Oh! Calcutta!,0,-1862,14.22,2338,499,9,52.06,-2.87
30-06-1985,Singin' in the Rain,0,17180,28.41,5566,1933,0,35.99,-5.53
30-06-1985,Sunday in the Park with George,0,-6402,24.74,5965,771,8,96.71,13.88
30-06-1985,The King and I,0,0,39.65,8025,1765,5,90.93,0
30-06-1985,The Odd Couple,0,-15807,25.84,6525,1181,8,69.06,-6.14
30-06-1985,The Tap Dance Kid,0,-896,27.46,6421,1621,8,49.51,-1.27
07-07-1985,42nd Street,0,-57156,28.44,8288,1655,8,62.6,-12.6
07-07-1985,A Chorus Line,0,-47117,29.65,6184,1472,8,52.51,-14.07
07-07-1985,Aren't We All?,0,-32668,29.89,5953,1088,8,68.39,-7.8
07-07-1985,Arms and the Man,0,-14831,20.39,3910,682,8,71.66,-15.16
07-07-1985,As Is,0,-4249,17.83,4210,684,8,76.94,3.02
07-07-1985,Big River,0,-25343,33.95,7874,1018,8,96.68,-4.07
07-07-1985,Biloxi Blues,0,-31971,31.51,8775,1336,8,82.1,-21.22
07-07-1985,Brighton Beach Memoirs,0,-27982,18.22,5266,1368,8,48.12,-10.55
07-07-1985,Cats,0,6445,39.06,12069,1482,8,101.8,0.66
07-07-1985,La Cage aux Folles,0,-21903,34.13,11500,1683,8,85.41,-4.15
07-07-1985,Leader of the Pack,0,-34363,19.72,4123,1083,8,47.59,-5.43
07-07-1985,Oh! Calcutta!,0,-948,14.23,2269,499,9,50.52,-1.54
07-07-1985,Singin' in the Rain,0,-48594,30.6,3580,1933,7,23.15,-12.84
07-07-1985,Sunday in the Park with George,0,-21150,24.09,5248,771,8,85.08,-11.63
07-07-1985,The Odd Couple,0,-27053,22.17,6386,1181,8,67.59,-1.47
07-07-1985,The Tap Dance Kid,0,-54181,26.94,4534,1621,8,34.96,-14.55
14-07-1985,42nd Street,0,16361,29.29,8606,1655,8,65,2.4
14-07-1985,A Chorus Line,0,8650,29.3,6552,1472,8,55.64,3.13
14-07-1985,Aren't We All?,0,35949,31.77,6732,1088,8,77.34,8.95
14-07-1985,Arms and the Man,0,-18585,20.73,2949,682,8,54.05,-17.61
14-07-1985,As Is,0,-291,17.08,4379,684,8,80.03,3.09
14-07-1985,Big River,0,17974,34.93,8169,1018,8,100.31,3.63
14-07-1985,Biloxi Blues,0,12387,27.86,10369,1336,8,97.02,14.92
